-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,78,78,78,-1,-1,-1,-1,-1
-1,77,-1,-1,-1,-1,-1,78,-1,-1,-1,-1,-1
-1,77,78,-1,-1,-1,-1,78,-1,-1,-1,-1,-1
-1,77,78,78,78,-1,-1,78,-1,-1,-1,78,-1
-1,77,78,78,78,78,78,78,78,-1,78,78,-1
-1,77,78,78,78,78,78,78,78,78,78,78,-1
-1,-1,78,78,78,78,78,78,-1,-1,78,78,-1
-1,-1,78,78,78,78,78,78,-1,-1,-1,78,-1
-1,-1,78,78,-1,78,78,78,78,-1,-1,78,-1
-1,-1,-1,-1,-1,-1,-1,78,78,78,78,78,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
